#Deleted in new
1	145108225	145108226	.	.	+
#Deleted in new
10	51381518	51381519	.	.	+
#Deleted in new
7	100607253	100607254	.	.	-
#Deleted in new
7	100607452	100607453	.	.	-
#Deleted in new
7	100607457	100607458	.	.	-
#Deleted in new
7	100607465	100607466	.	.	-
#Deleted in new
7	100607499	100607500	.	.	-
#Deleted in new
9	43135065	43135066	.	.	+
#Deleted in new
9	43137269	43137270	.	.	+
#Deleted in new
17	108396488	108396489	.	.	-
#Deleted in new
X	103228972	103228973	.	.	+
#Deleted in new
14	106552674	106552675	.	.	+
#Deleted in new
14	106552677	106552678	.	.	+
#Deleted in new
14	106552690	106552691	.	.	+
#Deleted in new
14	106552704	106552705	.	.	+
#Deleted in new
14	106552706	106552707	.	.	+
#Deleted in new
1	145682473	145682474	.	.	+
#Deleted in new
1	144615103	144615104	.	.	+
#Deleted in new
1	144617231	144617232	.	.	+
#Deleted in new
4	126848	126849	.	.	+
#Deleted in new
7	74984821	74984822	.	.	-
#Deleted in new
1	149922705	149922706	.	.	-
#Deleted in new
1	150204817	150204818	.	.	-
#Deleted in new
1	150270362	150270363	.	.	+
#Deleted in new
1	150310237	150310238	.	.	+
#Deleted in new
4	126768	126769	.	.	+
#Deleted in new
4	126803	126804	.	.	+
#Deleted in new
4	128757	128758	.	.	+
#Deleted in new
4	150908	150909	.	.	+
#Deleted in new
7	72214977	72214978	.	.	-
#Deleted in new
7	72394643	72394644	.	.	+
#Deleted in new
7	74285091	74285092	.	.	-
#Deleted in new
7	74285095	74285096	.	.	-
